,label,41_3.21,93_4.48,77_4.55,91_4.76,136_5.44,93_5.5,57_5.56,57_5.7,93_5.77,59_5.89,67_6.17,93_6.32,119_6.71,109_6.76,68_6.83,93_7.06,93_7.38,105_18.73,119_19.76,81_20.11,161_20.32,93_21.54,161_23.95,119_24.92
F05AN_2,F05,78757.83195,1912732.055,467741.8343,55776.55249,311075.8281,681177.1446,1753896.829,25154.15997,32666.79807,912967.2552,150500.5559,170614.0348,266452.7611,73702.70036,226297.2853,284096.4435,680000.5942,48985.28575,80414.81233,175736.429,50705.28414,758745.2419,241618.7997,91698.81403
F05AU_1,F05,39231.28973,1543572.755,390493.6844,65324.50338,234103.6196,584742.8167,3096740.404,31552.65102,193294.2291,605322.6637,24582.14376,212604.1898,291440.2708,64294.39956,150343.1915,212076.9549,369908.0513,52188.6297,11014.57573,204146.3543,63840.74254,605474.4772,254411.3153,94784.77669
F05AU_2,F05,118052.4307,1957970.804,551685.3452,74250.56342,250803.1986,657499.2425,2151156.307,15105.11498,24042.98786,719031.8293,119524.673,111241.5678,285995.5743,53196.44519,208293.5504,241978.6027,90402.05344,33904.99248,70733.23835,158291.6547,49716.65284,435200.3845,118288.0606,79433.42004
F05MB_1,F05,84816.60758,1889957.906,501990.4923,65327.41665,290899.1979,619716.2083,2078264.532,10475.1774,213707.2625,687039.3735,132931.0664,73128.52585,290247.1971,55505.76841,176453.5924,256293.1218,402641.4333,19131.52398,72148.02526,165333.6502,52669.28498,720596.8217,209952.472,74097.60107
F05MB_2,F05,116328.3488,1627637.08,379399.5129,54411.83303,231396.2443,545031.2292,2948247.886,21304.2235,180780.8359,681102.824,95267.50291,59550.71732,169790.2107,51545.83564,107268.1519,250466.353,449769.9733,55720.9265,91642.4675,214926.2158,59865.39428,939976.6282,271810.5379,93872.89826
F05MC_1,F05,116950.6253,1202615.456,261041.4273,55048.55212,173560.7714,416083.6016,4039150.022,28406.16904,134903.8163,838932.1559,48373.18043,163406.6231,252071.3844,37690.14257,87618.73389,166573.0081,153585.1523,32752.65057,55581.13387,125872.5072,14383.61571,570850.3886,136325.3061,43634.29349
F05MC_2,F05,107477.2492,872494.3908,188720.539,40714.39809,112492.5235,269399.1583,4762802.112,15288.07712,188628.9121,805768.6183,54949.59161,93808.5407,183208.9503,50076.28479,106229.0115,95332.53378,1.013721814,23387.5671,50923.01307,106436.5212,27894.30255,507673.005,153759.4092,50126.31483
F05MN_1,F05,108895.8912,1519259.505,342298.8096,35646.47306,208870.4632,527945.057,2304542.696,18275.77113,21868.54603,1233250.261,82275.40243,41893.14808,197380.765,34099.62434,142136.2051,203632.4873,544191.2488,40849.39974,68236.82631,160240.0496,57089.03883,559058.3396,224157.8538,76120.78893
F05MN_2,F05,69867.0427,1965674.18,459693.8204,64041.33906,223825.2406,591679.9678,2465385.064,308776.3455,162766.0755,811358.2352,87943.3015,74452.64838,342212.5574,31472.84551,153343.4797,172014.7945,151443.5059,20808.92509,88665.18116,146975.22,46380.7625,642353.2063,133097.5608,61198.90503
F05MU_1,F05,47869.52494,1010758.066,225746.7659,97219.3201,143874.2153,335227.0887,4752732.329,24502.96471,138102.4783,790288.9723,194547.7467,23660.88868,283509.6006,82907.52239,93724.14846,129670.223,141456.8596,20592.07909,40868.28889,137426.893,43110.36868,368307.4543,76940.94737,49381.70273
F05MU_2,F05,2687.300216,1774045.763,417183.4216,99388.72222,216785.9729,550276.4593,2609957.2,33226.8128,163339.2033,1033478.87,123337.9901,121884.3458,566097.019,53548.13151,142102.9165,165093.3444,1.013799884,24684.1903,81343.88097,213179.7893,37497.98905,526364.2522,94266.21171,65739.59912
F06AB_1,F06,110944.7818,2310054.708,515070.8024,92580.93826,266378.1074,700926.573,2138493.073,52250.67128,178204.2895,651937.1425,51672.80968,19753.2066,407350.7411,83432.53452,94715.712,219210.6674,248664.4492,65991.7116,98053.84884,210264.7457,44251.25429,672943.1518,190262.7285,88294.96568
F06AB_2,F06,137550.073,948461.8234,214918.353,76404.76696,168943.7379,398689.1897,3770423.479,26119.82115,115549.4588,1125470.109,36550.02941,32935.89866,314950.3443,114137.4527,76092.30777,175659.2571,132300.1646,59823.68241,101282.6771,8814.991838,55036.46986,732474.2131,193929.2595,95837.2836
F06AC_1,F06,256552.8595,1336171.261,316406.7553,41596.77485,179947.2706,395835.2549,2166605.789,14785.12011,71418.92016,882930.9879,56375.96606,510883.446,128617.2879,67196.4472,119144.3717,121331.0573,197928.0287,46483.18205,51265.67141,77222.62719,53499.02833,490433.2185,268974.5906,67677.76288
F06AC_2,F06,269502.938,1429084.055,325814.9166,53040.18818,219236.7036,514787.9792,2857214.769,15296.10436,161375.3443,609868.1685,60819.92532,85566.52787,188712.6996,55303.82715,146278.3187,167354.6166,400843.6294,46322.88927,79658.26273,116101.1552,66941.01786,622874.6371,224799.415,9595.084493
F06AN_1,F06,162097.9591,2332736.77,485732.3968,82273.54705,291437.188,750159.9922,2277393.698,34577.75021,211199.4331,604618.9295,77996.85344,35391.31995,221949.2164,80320.30081,114148.3603,207953.4789,188729.6239,57351.23161,82558.55528,170949.0102,53089.30905,615444.122,193793.2088,106697.5694
F06AU_1,F06,95267.21562,1644302.127,354445.5259,66778.08723,220222.205,509761.2512,3229321.462,63416.05943,154058.8206,589983.5698,49867.16609,132084.0592,133886.7155,69121.81303,120925.4926,181562.4665,149924.1558,59756.36159,80130.67733,140266.7359,55418.78726,498633.4849,186415.5721,79822.03129
F06MB_1,F06,88884.92253,2029103.865,514410.1829,79980.26384,236312.9701,640313.452,2183985.291,15717.74583,158943.5733,948268.4202,57582.49571,36265.89455,376691.3091,53885.43059,182571.2586,163148.804,106321.7087,39728.85114,71565.20379,153369.486,42426.16004,514439.4699,127917.264,81688.77378
F06MB_2,F06,151333.3052,1277184.714,301552.9028,59948.92399,169209.962,443235.1753,3263488.02,15333.34662,111230.6706,794389.0056,32575.74045,24506.23769,167241.0423,69197.13753,105729.668,165612.8815,159072.3746,31298.82398,66224.62012,139952.8736,39050.32645,584835.4915,177487.7144,85460.77087
F06MC_1,F06,135420.6473,2305111.624,533910.5019,118144.095,323190.6354,785192.6586,2678416.043,40279.74406,212549.2289,638555.9352,186112.8951,46481.69706,325505.0102,96918.50092,155569.2974,241497.9655,379335.0009,60312.14505,92858.24839,185114.6063,56327.75775,734485.3358,221046.7198,109943.6027
F06MC_2,F06,130856.5098,1796273.51,449913.8609,79446.94872,256149.0332,634191.9298,1691226.193,28166.50767,69759.00802,778902.1303,134709.8146,38382.02463,228600.5312,82940.9149,167811.7118,189966.0846,371790.763,19656.26002,68379.7862,112541.8772,48865.72156,454891.6312,176324.8429,75775.02086
F06MN_1,F06,39641.51047,1068938.492,230347.9995,47398.74386,144275.0044,361295.0272,3726756.337,16155.527,102468.9855,589488.1015,167005.4196,39949.45783,262771.8597,48762.00258,104682.6451,113765.7566,169775.0957,12753.32642,48541.02916,73471.97488,36679.05741,415017.5295,125677.7568,22993.81999
F06MN_2,F06,30168.40034,1331701.982,311348.542,83569.79282,182929.1896,446953.952,2112414.086,24241.93598,182921.6699,576832.2328,280080.462,109893.7909,320573.9664,86381.42037,117378.5697,207205.5008,510055.0583,65104.52955,106358.8058,180508.6325,88624.1836,766602.2006,240930.8345,72716.40979
F06MU_1,F06,32928.24558,1814586.929,432889.0712,96058.71731,242477.0162,610911.0855,1638595.058,26803.64116,145907.6305,768649.7968,50069.30765,30762.89208,339569.8597,79505.10755,102083.8077,169446.8923,66016.14872,13459.86935,45851.24791,102117.8098,32315.58829,134305.2395,99842.94732,51962.38607
F06MU_2,F06,8973.239866,1793813.6,433681.182,107728.325,249739.3873,639587.5709,1753134.706,30777.14925,167023.62,426355.5437,27741.16762,25166.2007,378475.5105,76107.43776,178039.1041,168502.2778,86064.99768,15258.98853,47278.33262,106659.3477,32997.8737,168559.493,84171.14311,57059.20408
F07AB_1,F07,12903.55122,1979425.402,425507.7911,65631.16661,234889.9117,528158.3251,3124028.807,29311.89444,214497.3884,320604.7783,22623.95495,138432.6275,356556.9352,49485.59893,98257.03812,148336.5677,1.013470736,26145.14637,46520.64608,65225.89377,34213.15252,393342.1594,120828.5247,53152.45796
F07AB_2,F07,23284.54067,1010289.401,234912.5829,40784.27081,144492.4978,334894.1824,4138624.41,6733.648609,36953.05907,706750.8689,13795.27014,56059.82469,190157.5557,52867.414,91693.50157,72807.14589,151374.0988,6991.802229,19308.44393,29565.71768,21772.49284,58637.26206,72083.42301,23230.48133
F07AC_1,F07,23093.48173,641865.861,143574.1494,57544.66449,130157.9154,257849.9224,3336197.514,25661.92245,118620.485,493288.004,34527.73559,85527.59845,239543.5453,92326.68457,70105.73918,67372.07635,23008.7683,11035.22793,38933.36393,47708.76924,44678.84157,322144.144,90753.94524,52509.08833
